"id","sf","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00364992",70.32,40.5864,-77.5692,140.2,"PA","LEWISTOWN","","","TMAX",1938,2023
"USC00365109",71.73,41.1311,-77.4336,172.5,"PA","LOCK HAVEN SEWAGE PLT","","","TMAX",1973,2023
"USC00365212",73.89,40.4586,-79.4503,301.8,"PA","LOYALHANNA LAKE","","","TMAX",1989,2023
"USC00365344",111.155555555556,40.8344,-76.1436,521.2,"PA","MAHANOY CITY 2 N","","","PRCP",1972,2023
"USC00365470",90.5875,41.3914,-74.7172,139.9,"PA","MATAMORAS","","","TMAX",1955,2012
"USC00365790",76.3,40.8847,-77.475,341.4,"PA","MILLHEIM","","","PRCP",1949,2023
"USC00365915",180.44,41.8511,-75.8583,432.8,"PA","MONTROSE","","HCN","TMAX",1903,2009
"USC00366649",110.02,41.9244,-78.0072,521.2,"PA","OSWAYO 1 ENE","","","PRCP",1991,2021
"USC00366681",69.12,40.3856,-75.5019,91.4,"PA","PALM 3 SE","","","PRCP",1941,2023
"USC00367029",151.18,41.7394,-75.4464,548.6,"PA","PLEASANT MT 1 W","","HCN","TMAX",1951,2023
"USC00367103",101.59,41.8156,-78.2872,449.6,"PA","PORT ALLEGANY","","","TMAX",1969,2023
"USC00367229",77.33,40.9247,-79.2825,390.1,"PA","PUTNEYVILLE 2 SE DAM","","","TMAX",1943,2023
"USC00367322",62.95,40.4269,-75.9319,109.7,"PA","READING 4 NNW","","HCN","TMAX",1973,2008
"USC00367409",78.21,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",98.21,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367578",24.81,40.5514,-75.7222,167.6,"PA","RODALE RSCH CTR","","","TMAX",1983,2013
"USC00367727",102.41,41.7833,-76.1167,265.2,"PA","RUSHVILLE","","","PRCP",1949,2004
"USC00367730",109.78,41.8422,-77.4758,609.6,"PA","SABINSVILLE 3 SE","","","TOBS",1970,2011
"USC00367735",86.58,40.7819,-79.2375,353.6,"PA","SAGAMORE","","","TOBS",1974,2016
"USC00367782",64.94,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367863",27.4777777777778,40.6831,-79.6683,238.7,"PA","SCHENLEY LOCK 5","","","PRCP",1891,2023
"USC00367931",70.34,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368057",92,41.1831,-76.1489,208.8,"PA","SHICKSHINNY 3 N","","","PRCP",1971,2018
"USC00368145",79.79,41.3203,-78.0958,249.9,"PA","SINNEMAHONING","","","PRCP",1951,2012
"USC00368400",94.94,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",109.28,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",73.32,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368570",72.23,40.4833,-76.1833,182.9,"PA","STRAUSSTOWN","","","PRCP",1945,2010
"USC00368589",114.21,40.55,-78.9167,573,"PA","STRONGSTOWN","","","PRCP",1948,2007
"USC00368596",107.122222222222,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368692",167.61,41.9478,-75.6047,277.4,"PA","SUSQUEHANNA","","","PRCP",1935,2023
"USC00368758",99.22,40.7947,-75.9753,281.9,"PA","TAMAQUA","","","PRCP",1940,2012
"USC00368868",86.89,41.8975,-77.1419,374.9,"PA","TIOGA HAMMOND DAM","","","TMAX",1973,2023
"USC00368873",97.3,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",177.89,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",71.44,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369022",84.62,40.6644,-78.2192,271.3,"PA","TYRONE","","","PRCP",1972,2023
"USC00369042",243.84,41.9003,-79.8611,378,"PA","UNION CITY FILTRATION PLT","","","PRCP",1950,2023
"USC00369298",120.92,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USC00369510",138.57,41.5764,-79.4106,410,"PA","WEST HICKORY 2","","","PRCP",1992,2012
"USC00369714",69.49,40.4667,-78.2,257.6,"PA","WILLIAMSBURG","","","TOBS",1971,2022
"USW00004725",201.93,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00014737",74.67,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014778",88.57,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
