"id","temp","latitude","longitude","elevation","state","name","gsn_flag","wmo_id","element","first_year","last_year"
"USC00367167",4.69386712485044,40.6514,-78.555,463.3,"PA","PRINCE GALLITZIN SP","","","TMAX",1982,2023
"USC00367313",5.6112870884704,40.3814,-78.0753,303.3,"PA","RAYSTOWN HQ","","","TMAX",2012,2023
"USC00367409",4.61559951226121,41.33,-77.7381,201.2,"PA","RENOVO","","","TMAX",1896,2023
"USC00367477",4.01793456171251,41.4197,-78.7492,414.5,"PA","RIDGWAY","","HCN","TMAX",1913,2023
"USC00367782",5.59596057444791,40.51,-79.5458,338,"PA","SALINA 3 W","","","TMAX",1953,2023
"USC00367931",5.07217788917491,40.7831,-76.8617,128,"PA","SELINSGROVE 2 S","","HCN","TMAX",1894,2023
"USC00368184",4.7446480558226,41.0561,-80.0594,384,"PA","SLIPPERY ROCK 1 SSW","","","TMAX",1949,2023
"USC00368400",5.72057809465745,40.5711,-75.2781,262.1,"PA","SPRINGTOWN 1 NNE","","","TMAX",1991,2023
"USC00368449",4.42890326514022,40.7933,-77.8672,356.6,"PA","STATE COLLEGE","","HCN","TMAX",1893,2023
"USC00368469",3.69237501693537,41.4039,-78.0183,284.1,"PA","STEVENSON DAM","","","TMAX",1969,2023
"USC00368596",5.3619435035903,41.0147,-75.2072,143.6,"PA","E STROUDSBURG","","HCN","TMAX",1911,2023
"USC00368668",5.23691911665086,40.8533,-76.7892,175.3,"PA","SUNBURY","","","TMAX",1957,2023
"USC00368868",2.95524861129928,41.8975,-77.1419,374.9,"PA","TIOGA HAMMOND DAM","","","TMAX",1973,2023
"USC00368873",4.69804892049003,41.4792,-79.4433,365.8,"PA","TIONESTA 2 SE LAKE","","","TMAX",1921,2023
"USC00368888",3.97043653750621,41.6311,-79.6931,371.9,"PA","TITUSVILLE WTR WKS","","","TMAX",1954,2023
"USC00368905",3.85744849262032,41.7511,-76.4431,231.6,"PA","TOWANDA 1 S","","HCN","TMAX",1894,2023
"USC00369042",3.09338368784717,41.9003,-79.8611,378,"PA","UNION CITY FILTRATION PLT","","","TMAX",2012,2023
"USC00369298",3.44067741498442,41.8467,-79.1494,368.8,"PA","WARREN","","HCN","TMAX",1896,2023
"USC00369408",2.14548570654383,41.7003,-77.3872,554.1,"PA","WELLSBORO 4 SW","","HCN","TMAX",1926,2023
"USC00369735",5.49085625254031,41.2486,-76.9833,160,"PA","WILLIAMSPORT 2","","","TMAX",1999,2023
"USR0000NGAN",4.28152075147902,42.1,-77.1,335.3,"NY","GANG MILLS NEW YORK","","","TMAX",2003,2021
"USR0000PALL",3.34398598503666,41.4864,-79.1025,539.5,"PA","ALLEGHENY PENNSYLVANIA","","","TMAX",1999,2021
"USW00004725",1.6700955155128,42.1997,-75.9847,519.1,"NY","BINGHAMTON","","HCN 72515","TMAX",1951,2023
"USW00004751",2.46431576570474,41.7983,-78.6356,642.2,"PA","BRADFORD RGNL AP","","","TMAX",1957,2023
"USW00004787",3.63876538117511,41.1794,-78.8933,550.5,"PA","DUBOIS RGNL AP","","","TMAX",1962,2023
"USW00004789",5.05490818465308,41.5092,-74.2644,108.2,"NY","MONTGOMERY ORANGE CO AP","","","TMAX",1998,2023
"USW00014737",6.5216000541932,40.6497,-75.4478,117.3,"PA","ALLENTOWN LEHIGH VLY INTL AP","","HCN 72517","TMAX",1948,2023
"USW00014747",3.68776336926859,42.4933,-79.2761,203.9,"NY","DUNKIRK CHAUTAUQUA CO AP","","","TMAX",1945,2023
"USW00014748",4.39175030483674,42.1567,-76.9028,285.3,"NY","ELMIRA CORNING RGNL AP","","","TMAX",1938,2023
"USW00014770",5.74668943910039,40.8192,-76.8658,135.3,"PA","SELINSGROVE PENN VALLEY AP","","","TMAX",1997,2023
"USW00014777",5.02520710663347,41.3336,-75.7228,289.9,"PA","WILKES-BARRE/SCRANTON INTL AP","","72513","TMAX",1949,2023
"USW00014778",5.41101409023168,41.2431,-76.9217,159.7,"PA","WILLIAMSPORT RGNL AP","","HCN 72514","TMAX",1948,2023
"USW00054743",6.9340457593822,40.8764,-74.2828,52.1,"NJ","CALDWELL ESSEX CO AP","","","TMAX",1999,2023
"USW00054757",2.28498469336663,42.1078,-77.9842,637.6,"NY","WELLSVILLE MUNI AP","","","TMAX",2000,2023
"USW00054779",5.66643979592008,41.0092,-74.7364,176.8,"NJ","AEROFLEX-ANDOVER AP","","","TMAX",1998,2023
"USW00054785",7.28744971246222,40.6242,-74.6689,30.2,"NJ","SOMERSET AP","","","TMAX",1999,2023
"USW00054789",2.34935875897575,41.1369,-75.3772,574.5,"PA","MT POCONO POCONO MOUNTAINS MUN","","","TMAX",1999,2023
"USW00054792",4.00030827835556,41.0464,-78.4111,459.9,"PA","CLEARFIELD LAWRENCE AP","","","TMAX",2000,2023
"USW00054793",5.60014395254872,41.1992,-74.6258,127.4,"NJ","SUSSEX AP","","","TMAX",2000,2023
"USW00064758",2.03003364609629,42.44,-76.2461,374.3,"NY","ITHACA 13 E","","CRN","TMAX",2004,2023
